4.515,-,FLNW,Labor,Naturwissenschaften,(101.04.515)
4.517,-,FLNW,Labor,Naturwissenschaften,(101.04.517)
4.521,-,FAML,Atelier,Malen,(101.04.521)
4.523,-,FAML,Atelier,Malen,(101.04.523)
4.525,-,FATX,Atelier,Textil,(101.04.525)
4.607,-,FKHW,Kochen/Hauswirtschaft,(101.04.607)
4.611,-,FAMS,Atelier,Musik,(101.04.611)
4.612,-,FAMS,Atelier,Musik,(101.04.612)
4.613,-,FAMS,Atelier,Musik,(101.04.613)
4.614,-,FAMS,Atelier,Musik,(101.04.614)
4.615,-,FAMS,Atelier,Musik,(101.04.615)
4.616,-,FAMS,Atelier,Musik,(101.04.616)
4.617,-,FAMS,Atelier,Musik,(101.04.617)
4.618,-,FAMS,Atelier,Musik,(101.04.618)
4.619,-,FAMS,Atelier,Musik,(101.04.619)
4.620,-,FAMS,Atelier,Musik,(101.04.620)
4.621,-,FAMS,Atelier,Musik,(101.04.621)
4.622,-,FAMS,Atelier,Musik,(101.04.622)
4.625,Cafeteria,-,XGST,Gastronomie,(101.04.625)
5.0A05,Restaurant,-,XGST,Gastronomie,(101.05.0A05)
5.0A1.021,(Campusplatz,Gebäude,5),-,XINF,Infrastrukturraum,(101.A1.021)
5.0A1.025,(Vordach,Gebäude,5),-,XINF,Infrastrukturraum,(101.A1.025)
5.0A52,Studiensaal,A,-,UNTR,Unterrichtsraum,(101.05.0H02)
5.0B01,Cafeteria,-,XGST,Gastronomie,(101.05.0B01)
5.0B15,Forumsraum,A,-,SZIP,Sitzungszimmer,(101.05.0B15)
5.0B16,Forumsraum,B,-,SZIP,Sitzungszimmer,(101.05.0B16)
5.0B56,Studiensaal,B,-,UNTR,Unterrichtsraum,(101.05.0H06)
5.0B92,Korridor,Campus,Bar,-,XVKF,Verkehrsfläche,(101.05.0H90)
5.1A17,-,UNTR,Unterrichtsraum,(101.05.1A17)
5.1A19,-,XVKF,Verkehrsfläche,(101.05.1A19)
5.1A70,-,XVKF,Verkehrsfläche,(101.05.1A70)
5.1A93,-,XVKF,Verkehrsfläche,(101.05.1H90)
5.1B51,-,UNTR,Unterrichtsraum,(101.05.1H01)
5.1B53,-,UNTR,Unterrichtsraum,(101.05.1H03)
5.1C52,-,UNTR,Unterrichtsraum,(101.05.1H12)
5.1C54,-,UNTR,Unterrichtsraum,(101.05.1H14)
5.1C56,-,UNTR,Unterrichtsraum,(101.05.1H16)
5.1C59,-,UNTR,Unterrichtsraum,(101.05.1H19)
5.1D11,-,UNTR,Unterrichtsraum,(101.05.1D11)
5.1D30,-,XEDU,Studienraum,(101.05.1H30)
5.1P90,-,XVKF,Verkehrsfläche,(101.05.1P90)
5.2A17,-,UNTR,Unterrichtsraum,(101.05.2A17)
5.2B51,-,UNTR,Unterrichtsraum,(101.05.2H01)
5.2B53,-,UNTR,Unterrichtsraum,(101.05.2H03)
5.2C52,-,FLIN,Labor,Informatik,(101.05.2H12)
5.2C54,-,FLIN,Labor,Informatik,(101.05.2H14)
